state,Month,cases
Alabama,3,6129
Alabama,4,125166
Alabama,5,372033
Alabama,6,800287
Alabama,7,1918336
Alabama,8,3355858
Alabama,9,4227298
Alabama,10,5332670
Alaska,3,851
Alaska,4,8231
Alaska,5,12256
Alaska,6,23003
Alaska,7,67633
Alaska,8,154871
Alaska,9,220233
Alaska,10,367261
Arizona,1,6
Arizona,2,29
Arizona,3,6830
Arizona,4,128668
Arizona,5,417110
Arizona,6,1297231
Arizona,7,4105142
Arizona,8,5951480
Arizona,9,6320568
Arizona,10,7142027
Arkansas,3,3965
Arkansas,4,53571
Arkansas,5,150100
Arkansas,6,402154
Arkansas,7,972426
Arkansas,8,1633930
Arkansas,9,2173272
Arkansas,10,3025302
California,1,14
California,2,285
California,3,55406
California,4,865585
California,5,2476264
California,6,4905111
California,7,11404982
California,8,19168697
California,9,23157818
California,10,27163983
Colorado,3,18603
Colorado,4,264026
Colorado,5,660633
Colorado,6,886415
Colorado,7,1215655
Colorado,8,1642292
Colorado,9,1909117
Colorado,10,2651624
Connecticut,3,14606
Connecticut,4,467204
Connecticut,5,1124193
Connecticut,6,1348657
Connecticut,7,1483675
Connecticut,8,1585462
Connecticut,9,1651324
Connecticut,10,1961272
Delaware,3,1887
Delaware,4,67480
Delaware,5,229386
Delaware,6,312601
Delaware,7,410198
Delaware,8,503506
Delaware,9,572135
Delaware,10,706558
District of Columbia,3,2923
District of Columbia,4,70950
District of Columbia,5,215106
District of Columbia,6,291828
District of Columbia,7,345436
District of Columbia,8,407849
District of Columbia,9,441301
District of Columbia,10,503658
Florida,3,35597
Florida,4,671158
Florida,5,1396018
Florida,6,2637626
Florida,7,9746638
Florida,8,17469880
Florida,9,20108236
Florida,10,23278677
Georgia,3,22119
Georgia,4,453331
Georgia,5,1109472
Georgia,6,1734682
Georgia,7,3794129
Georgia,8,6755964
Georgia,9,8427889
Georgia,10,10651435
Guam,3,594
Guam,4,20795
Guam,5,34932
Guam,6,35170
Guam,7,39876
Guam,8,51043
Guam,9,88088
Guam,10,140112
Hawaii,3,1474
Hawaii,4,14988
Hawaii,5,19430
Hawaii,6,22303
Hawaii,7,41333
Hawaii,8,156872
Hawaii,9,327696
Hawaii,10,433606
Idaho,3,2359
Idaho,4,45937
Idaho,5,75057
Idaho,6,116842
Idaho,7,412314
Idaho,8,848552
Idaho,9,1106607
Idaho,10,1634407
Illinois,1,10
Illinois,2,59
Illinois,3,33167
Illinois,4,802337
Illinois,5,2822196
Illinois,6,4025869
Illinois,7,4987937
Illinois,8,6477545
Illinois,9,8067391
Illinois,10,10729137
Indiana,3,10152
Indiana,4,292473
Indiana,5,857247
Indiana,6,1241303
Indiana,7,1745006
Indiana,8,2546792
Indiana,9,3290139
Indiana,10,4586771
Iowa,3,2794
Iowa,4,83724
Iowa,5,441186
Iowa,6,731691
Iowa,7,1152156
Iowa,8,1651099
Iowa,9,2312934
Iowa,10,3291856
Kansas,3,2408
Kansas,4,55555
Kansas,5,241100
Kansas,6,355114
Kansas,7,663964
Kansas,8,1086757
Kansas,9,1554737
Kansas,10,2245140
Kentucky,3,3398
Kentucky,4,74780
Kentucky,5,234711
Kentucky,6,389689
Kentucky,7,694134
Kentucky,8,1272814
Kentucky,9,1873371
Kentucky,10,2751940
Louisiana,3,28913
Louisiana,4,625639
Louisiana,5,1061231
Louisiana,6,1436753
Louisiana,7,2696554
Louisiana,8,4228513
Louisiana,9,4777934
Louisiana,10,5504935
Maine,3,2110
Maine,4,22358
Maine,5,52158
Maine,6,84057
Maine,7,112034
Maine,8,129919
Maine,9,148402
Maine,10,183375
Maryland,3,8831
Maryland,4,327492
Maryland,5,1190664
Maryland,6,1867000
Maryland,7,2391813
Maryland,8,3103859
Maryland,9,3532754
Maryland,10,4187127
Massachusetts,2,29
Massachusetts,3,34418
Massachusetts,4,977699
Massachusetts,5,2582585
Massachusetts,6,3164865
Massachusetts,7,3498717
Massachusetts,8,3824563
