state,cases
Alabama,16137777
Alaska,854339
Arizona,25369091
Arkansas,8414720
California,89198145
Colorado,9248365
Connecticut,9636393
Delaware,2803751
Florida,75343830
Georgia,32949021
Hawaii,1017702
Idaho,4242075
Illinois,37945648
Indiana,14569883
Iowa,9667440
Kansas,6204775
Kentucky,7294837
Louisiana,20360472
Maine,734413
Maryland,16609540
Massachusetts,22317682
Michigan,18809581
Minnesota,11222943
Mississippi,10697610
Missouri,12357612
Montana,1275587
Nebraska,5440005
Nevada,8590259
New Hampshire,1244760
New Jersey,36008303
New Mexico,3700963
New York,83943669
North Carolina,22734325
North Dakota,2055647
Ohio,17755991
Oklahoma,8182645
Oregon,3591037
Pennsylvania,22848710
Rhode Island,3739797
South Carolina,15327514
South Dakota,2437721
Tennessee,20040334
Texas,79827939
Utah,7909461
Vermont,284325
Virginia,17578389
Washington,11089623
West Virginia,1553148
Wisconsin,13342053
Wyoming,653887
